,Name,Likes,Links
0,"
            flutter
","
          132k
",https://github.com/flutter/flutter
1,"
            free-programming-books-zh_CN
","
          84.2k
",https://github.com/justjavac/free-programming-books-zh_CN
2,"
            scrcpy
","
          57.2k
",https://github.com/Genymobile/scrcpy
3,"
            Awesome-Hacking
","
          47.7k
",https://github.com/Hack-with-Github/Awesome-Hacking
4,"
            material-design-icons
","
          44.3k
",https://github.com/google/material-design-icons
5,"
            awesome-android-ui
","
          41.6k
",https://github.com/wasabeef/awesome-android-ui
6,"
            okhttp
","
          41.1k
",https://github.com/square/okhttp
7,"
            architecture-samples
","
          39.8k
",https://github.com/android/architecture-samples
8,"
            retrofit
","
          39k
",https://github.com/square/retrofit
9,"
            awesome-flutter
","
          38.2k
",https://github.com/Solido/awesome-flutter
10,"
            MPAndroidChart
","
          34.2k
",https://github.com/PhilJay/MPAndroidChart
11,"
            fastlane
","
          33.2k
",https://github.com/fastlane/fastlane
12,"
            shadowsocks-android
","
          32.1k
",https://github.com/shadowsocks/shadowsocks-android
13,"
            lottie-android
","
          32k
",https://github.com/airbnb/lottie-android
14,"
            glide
","
          31.9k
",https://github.com/bumptech/glide
15,"
            android-open-project
","
          30.8k
",https://github.com/Trinea/android-open-project
16,"
            AndroidUtilCode
","
          30.1k
",https://github.com/Blankj/AndroidUtilCode
17,"
            gold-miner
","
          29.7k
",https://github.com/xitu/gold-miner
18,"
            ijkplayer
","
          29.6k
",https://github.com/bilibili/ijkplayer
19,"
            zxing
","
          28.6k
",https://github.com/zxing/zxing
20,"
            jadx
","
          27.7k
",https://github.com/skylot/jadx
21,"
            android_guides
","
          27.6k
",https://github.com/codepath/android_guides
22,"
            leakcanary
","
          26.9k
",https://github.com/square/leakcanary
23,"
            joplin
","
          26.3k
",https://github.com/laurent22/joplin
24,"
            fastjson
","
          23.9k
",https://github.com/alibaba/fastjson
